modello,temperatura,sample_id,n_parole,H_parola_norm,R_gzip,stallo,L_ciclo,L_ciclo_char,V_ciclo,H_ciclo,frazione_stallo,accordo,estratto
Qwen2.5-1.5B,0.4,5,14015,0.516016138656325,0.011266551377022945,True,14.0,70.0,9.0,0.9757546965194905,0.9790938280413842,0.92858185001459,"am sorry for you,” she repeated, “and I am sorry for you.” “Then I "
Qwen2.5-1.5B,0.4,2,15992,0.39543631376776034,0.011330746967177781,True,5.0,18.0,5.0,1.0000000000000002,0.9832416208104052,1.0,don’t know him. I 
Qwen2.5-1.5B,0.5,3,14931,0.7227111601504884,0.013818486646495605,True,40.0,192.0,24.0,0.9821358204401895,0.9647712812269774,0.8998955795335886,"her,” said Anna Pávlovna, who was now crying and was beginning to sob. “Because she is a woman of the world, and I don’t like her.” “Because she is a woman of the world, and I don’t like "
Qwen2.5-1.5B,0.5,4,17622,0.5630441658869554,0.015586536352336153,True,19.0,89.0,15.0,0.9591804397450658,0.9748609692429917,1.0,dying. She saw the expression of the last moments of life in the eyes of a man who was 
Qwen2.5-1.5B,0.6,2,14236,0.44104821644437253,0.02141545373138859,True,11.0,51.0,8.0,0.9713256910609176,0.961295307670694,1.0,He is a good sort of gentleman. He is a nobleman. 
Qwen2.5-1.5B,0.5,5,12668,0.7548916543252994,0.015268512903443164,True,36.0,202.0,32.0,0.9853467363875543,0.9610830438901168,0.999917620891342,"at him with a smile of tenderness. “Ah! I see,” said the prince, who, as a man of affairs, was always ready to read between the lines. “Baron Morio is a Frenchman,” added Anna Pávlovna, smiling "
Qwen2.5-1.5B,0.4,1,11690,0.6303359369386113,0.009710076963394113,True,28.0,157.0,13.0,0.9516816661216702,0.9791274593669803,1.0,"a Frenchman.” “Then you are not a German,” said the prince, “but you are a Frenchman.” “Then you are not a German,” said Anna Pávlovna, “but you are "
Qwen2.5-1.5B,0.6,3,15479,0.5127964152484302,0.010953357733714086,True,8.0,39.0,8.0,1.0,0.9876607015957103,1.0,"children, but no son. I have had five "
Qwen2.5-1.5B,0.4,4,16134,0.6665814394212444,0.010151417172000634,True,21.0,103.0,16.0,0.9700449806689346,0.9841948679806619,1.0,"t know what you mean by that. I don’t understand you. I am satisfied with my intelligence, but I don’"
Qwen2.5-1.5B,0.4,3,14668,0.611918374230822,0.013065084963129208,True,44.0,208.0,14.0,0.9561391670128638,0.9625034087810199,1.0,course I am a good mother. I have heard that I am a very good mother.” “Are you a good wife?” “Of course I am a good wife. I have heard that I am a very good wife.” “Are you a good mother?” “Of 
Qwen2.5-1.5B,0.5,1,16109,0.6292697243802213,0.011887110469021278,True,29.0,142.0,19.0,0.9527702828303906,0.981501024272146,1.0,"to look upon as a fool.... And you, my friend, you have not been a success. You have not been able to show your talents. You have been made "
Qwen2.5-1.5B,0.5,2,15834,0.4383516080457122,0.011477798188382847,True,11.0,55.0,6.0,0.986606462892553,0.9835164835164835,1.0,"you have been loved, and you have not been loved. And "
Qwen2.5-1.5B,0.6,1,16232,0.5317588253639867,0.020139224470071965,True,39.0,183.0,12.0,0.9634600980131107,0.9563208477082307,1.0,"not the best. I have been very beautiful. But I am not the best. I have been very beautiful, and I have been very perfect. But I am not the best. I have been very perfect. But I am "
Qwen2.5-1.5B,0.7,1,12748,0.4168914018530197,0.0315239195185703,True,5.0,29.0,5.0,1.0000000000000002,0.8713523689990587,1.0,woman?” “Is she a Russian 
Qwen2.5-1.5B,0.8,1,16037,0.5456914500286497,0.11944317294488274,True,8.0,34.0,8.0,1.0,0.5506017334913014,1.0,of the world. She was not a woman 
