criterio,modello,T_critica,params_b,famiglia,arch
[Z] MAPE minimo,Qwen2.5-1.5B,0.9,1.54,Qwen2.5,transformer denso
[Z] MAPE minimo,Qwen2.5-14B,0.7,14.7,Qwen2.5,transformer denso
[Z] MAPE minimo,Qwen2.5-3B,0.9,3.09,Qwen2.5,transformer denso
[Z] MAPE minimo,Qwen3.5-2B-Base,0.9,2.0,Qwen3.5,ibrida linear+full
[Z] MAPE minimo,Qwen3.5-4B-Base,0.9,4.0,Qwen3.5,ibrida linear+full
[Z] $\alpha$ più vicino a umano,Qwen2.5-1.5B,1.0,1.54,Qwen2.5,transformer denso
[Z] $\alpha$ più vicino a umano,Qwen2.5-14B,1.3,14.7,Qwen2.5,transformer denso
[Z] $\alpha$ più vicino a umano,Qwen2.5-3B,1.5,3.09,Qwen2.5,transformer denso
[Z] $\alpha$ più vicino a umano,Qwen3.5-2B-Base,1.0,2.0,Qwen3.5,ibrida linear+full
[Z] $\alpha$ più vicino a umano,Qwen3.5-4B-Base,1.0,4.0,Qwen3.5,ibrida linear+full
[Z] $\beta$ più vicino a umano,Qwen2.5-1.5B,1.1,1.54,Qwen2.5,transformer denso
[Z] $\beta$ più vicino a umano,Qwen2.5-14B,1.3,14.7,Qwen2.5,transformer denso
[Z] $\beta$ più vicino a umano,Qwen2.5-3B,1.0,3.09,Qwen2.5,transformer denso
[Z] $\beta$ più vicino a umano,Qwen3.5-2B-Base,1.1,2.0,Qwen3.5,ibrida linear+full
[Z] $\beta$ più vicino a umano,Qwen3.5-4B-Base,1.3,4.0,Qwen3.5,ibrida linear+full
[Z] $R$ più vicino a umano,Qwen2.5-1.5B,1.0,1.54,Qwen2.5,transformer denso
[Z] $R$ più vicino a umano,Qwen2.5-14B,1.1,14.7,Qwen2.5,transformer denso
[Z] $R$ più vicino a umano,Qwen2.5-3B,1.1,3.09,Qwen2.5,transformer denso
[Z] $R$ più vicino a umano,Qwen3.5-2B-Base,1.1,2.0,Qwen3.5,ibrida linear+full
[Z] $R$ più vicino a umano,Qwen3.5-4B-Base,1.0,4.0,Qwen3.5,ibrida linear+full
[L] $D_s$ minima da umano,Qwen2.5-1.5B,0.9,1.54,Qwen2.5,transformer denso
[L] $D_s$ minima da umano,Qwen2.5-14B,0.9,14.7,Qwen2.5,transformer denso
[L] $D_s$ minima da umano,Qwen2.5-3B,0.9,3.09,Qwen2.5,transformer denso
[L] $D_s$ minima da umano,Qwen3.5-2B-Base,0.9,2.0,Qwen3.5,ibrida linear+full
[L] $D_s$ minima da umano,Qwen3.5-4B-Base,1.0,4.0,Qwen3.5,ibrida linear+full
[L] $\alpha_{DFA}$ vicino a umano,Qwen2.5-1.5B,1.2,1.54,Qwen2.5,transformer denso
[L] $\alpha_{DFA}$ vicino a umano,Qwen2.5-14B,1.4,14.7,Qwen2.5,transformer denso
[L] $\alpha_{DFA}$ vicino a umano,Qwen2.5-3B,1.2,3.09,Qwen2.5,transformer denso
[L] $\alpha_{DFA}$ vicino a umano,Qwen3.5-2B-Base,1.5,2.0,Qwen3.5,ibrida linear+full
[L] $\alpha_{DFA}$ vicino a umano,Qwen3.5-4B-Base,0.7,4.0,Qwen3.5,ibrida linear+full
[C] $R_{gzip}$ vicino a umano,Qwen2.5-1.5B,0.9,1.54,Qwen2.5,transformer denso
[C] $R_{gzip}$ vicino a umano,Qwen2.5-14B,0.9,14.7,Qwen2.5,transformer denso
[C] $R_{gzip}$ vicino a umano,Qwen2.5-3B,1.0,3.09,Qwen2.5,transformer denso
[C] $R_{gzip}$ vicino a umano,Qwen3.5-2B-Base,1.0,2.0,Qwen3.5,ibrida linear+full
[C] $R_{gzip}$ vicino a umano,Qwen3.5-4B-Base,1.0,4.0,Qwen3.5,ibrida linear+full
[F] fine della fase periodica,Qwen2.5-1.5B,1.0,1.54,Qwen2.5,transformer denso
[F] fine della fase periodica,Qwen2.5-14B,0.6,14.7,Qwen2.5,transformer denso
[F] fine della fase periodica,Qwen2.5-3B,1.0,3.09,Qwen2.5,transformer denso
[F] fine della fase periodica,Qwen3.5-2B-Base,1.0,2.0,Qwen3.5,ibrida linear+full
[F] fine della fase periodica,Qwen3.5-4B-Base,1.0,4.0,Qwen3.5,ibrida linear+full
