corpus,titolo,sequenza,tipo,n_eventi,gamma,gamma_A1,gamma_A2,cv_tau
wikipedia,Industrial Revolution,vocali,vocali,18093,1.2656809862085732,0.9691250505061726,1.081721235886076,0.5246157258384266
wikipedia,Industrial Revolution,spazio,spazio,9332,1.216932858376328,0.9629895300557418,1.0079323307001549,0.47422867083163367
wikipedia,Industrial Revolution,e,lettera,5532,1.2474881033375276,1.0131176785372953,0.9337356060681895,0.8632911857273119
wikipedia,Industrial Revolution,t,lettera,4044,1.0503451551385496,0.9720055191033795,1.0000141848925017,0.8731229733862724
wikipedia,Industrial Revolution,n,lettera,3915,1.0003594167983676,1.0281984651766412,1.0157889749484676,0.8636040278704775
wikipedia,Industrial Revolution,a,lettera,3831,1.084260948138823,0.9863338709158903,0.9888383415642842,0.8643821304182737
wikipedia,Industrial Revolution,i,lettera,3662,1.0841896987487436,0.9796063013477637,0.8592025670628036,0.8878471477520239
wikipedia,Industrial Revolution,o,lettera,3619,1.248233790968205,0.9777802010830347,0.9342149231834033,0.9373471366843078
wikipedia,Industrial Revolution,r,lettera,3128,1.1904519207462927,1.0896712768828463,0.94247163688975,0.8358392317583405
wikipedia,Industrial Revolution,s,lettera,3013,1.1102636376737607,0.9708034574635906,0.9512634477057178,0.8904226870486264
wikipedia,Industrial Revolution,d,lettera,2164,1.0232578424623373,0.9536026979526323,0.9261561770760877,0.8791662244827895
wikipedia,Industrial Revolution,l,lettera,2044,1.1629160503740725,0.9674332920840477,1.0503514052340643,0.9758450976610049
wikipedia,Industrial Revolution,h,lettera,2025,1.216614885779399,0.9475755276858736,0.9843592275912888,0.9068286330495745
wikipedia,Industrial Revolution,c,lettera,1790,1.180348491962468,0.9918180605839223,0.9943752520022132,0.9985778004342686
wikipedia,Industrial Revolution,u,lettera,1449,1.0915223705947723,0.9496507008241335,0.9793193036291097,0.9899415409191964
wikipedia,Industrial Revolution,m,lettera,1222,1.180005979668538,0.9780192449233852,1.0163801866196647,0.977254888989848
wikipedia,Industrial Revolution,p,lettera,1118,1.0776613951347958,0.9635417827882763,1.0405123389704376,1.0543193980482974
wikipedia,Industrial Revolution,w,lettera,1047,1.2971774668236138,0.99986509262237,0.9971333847239974,1.0614561544713064
wikipedia,Industrial Revolution,f,lettera,1015,1.128089993024686,0.9622971018322951,0.9730263514471879,0.9731864651493802
wikipedia,Industrial Revolution,g,lettera,954,1.0782091504795446,0.9938604470433914,1.009545086976818,1.0136027646110692
wikipedia,Industrial Revolution,b,lettera,751,1.1572279424306575,0.9307835160908652,0.9885632464817986,1.0138935393590418
wikipedia,Industrial Revolution,the,funzione,675,1.031701384028829,0.9474615450387903,0.9994173507918366,0.971826744803382
wikipedia,Industrial Revolution,and,funzione,368,1.1994242107837991,1.0561347873469975,1.0361559490655545,0.9440087338295542
wikipedia,Industrial Revolution,in,funzione,332,1.0886326609760681,0.9811093205509974,0.9408217030118265,0.9797989574249744
wikipedia,Industrial Revolution,of,funzione,331,1.0668989130434636,0.9963468491528583,0.9834725072667595,0.9833626968380584
